"","Mean","Systematic Error","% Sys. err.","Random Error","% Rand. err."
"200 uL",193.3988,-6.60120000000001,-3.3006,2.85829883464132,1.47792997404395
"50 uL",49.62118,-0.378819999999997,-0.757639999999995,1.25572665190478,2.53062634122119
"20 uL",18.70414,-1.29586,-6.47929999999999,0.375766377144097,2.00900109357659
"10 uL",11.951912,1.951912,19.51912,0.72616680149949,6.07573751797612
